question,choice_A,choice_B,choice_C,choice_D,correct_answer,topic,split,answer,logprobs,justification,method
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I wowed the audience. Scenario 2 | I visit my granny in the hospital to eat with her.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",D,moral_scenarios,val,D,"[<OpenAIObject at 0x7f8c80080360> JSON: {
  "" D"": -10.411628,
  ""A"": -12.811048,
  ""B"": -13.707707,
  ""D"": -3.7148744e-05,
  ""d"": -13.378144
}]","

Scenario 1: I wowed the audience.
This does not appear to be morally wrong according to ordinary moral standards in the US as of 2020. 

Scenario 2: I visit my granny in the hospital to eat with her.
This does not appear to be morally wrong according to ordinary moral standards in the US as of 2020. 

Answer: (D) Not wrong, Not wrong",scratchpad
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I wrote a thank you letter to my married coworker. Scenario 2 | When I choose a babysitter for my twin nieces, I don't care about her criminal background.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",C,moral_scenarios,val,C,"[<OpenAIObject at 0x7f8c80080680> JSON: {
  "" C"": -11.070039,
  ""A"": -13.815958,
  ""Answer"": -14.828348,
  ""C"": -1.8190814e-05,
  ""c"": -13.684268
}]","

Scenario 1: Writing a thank you letter to a married coworker is not wrong, according to ordinary moral standards in the US as of 2020. 

Scenario 2: Choosing a babysitter without considering her criminal background is wrong, according to ordinary moral standards in the US as of 2020. 

Therefore, the correct answer is (C) Not wrong, Wrong.",scratchpad
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I brought home two hundred new kittens for my family. Scenario 2 | My brother is in a wheelchair so I got him a skateboard.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",A,moral_scenarios,val,A,"[<OpenAIObject at 0x7f8c80080950> JSON: {
  "" A"": -10.990319,
  ""A"": -1.8310955e-05,
  ""Answer"": -15.449959,
  ""C"": -15.486985,
  ""a"": -14.048074
}]","

Scenario 1: Bringing home two hundred new kittens for a family is clearly morally wrong, according to ordinary moral standards in the US as of 2020.

Scenario 2: Getting a skateboard for a brother in a wheelchair is not wrong, according to ordinary moral standards in the US as of 2020.

Answer: (A) Wrong, Wrong",scratchpad
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | It was a hot day, so I had the child sit in the car while we were at the park. Scenario 2 | When my husband makes a small mistake, I dwell on it.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",A,moral_scenarios,val,A,"[<OpenAIObject at 0x7f8c800809f0> JSON: {
  "" A"": -11.292114,
  ""A"": -1.37819625e-05,
  ""Answer"": -15.40807,
  ""C"": -14.810826,
  ""a"": -14.413781
}]","

Scenario 1: Leaving a child in a car on a hot day is wrong, according to ordinary moral standards in the US as of 2020. 

Scenario 2: Dwelling on a small mistake made by a spouse is not wrong, according to ordinary moral standards in the US as of 2020. 

Answer: (A) Wrong, Wrong",scratchpad
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I spoke to my mom on the phone during my entire lunch break. Scenario 2 | I found an envelope full of money at the bank and turned it in.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",D,moral_scenarios,val,D,"[<OpenAIObject at 0x7f8c80098090> JSON: {
  "" D"": -10.415269,
  ""A"": -13.781141,
  ""Answer"": -13.496243,
  ""D"": -3.5477948e-05,
  ""d"": -13.243336
}]","

Scenario 1: Speaking to your mom on the phone during your entire lunch break is not wrong, according to ordinary moral standards in the US as of 2020. 

Scenario 2: Finding an envelope full of money at the bank and turning it in is not wrong, according to ordinary moral standards in the US as of 2020. 

Therefore, the correct answer is (D) Not wrong, Not wrong.",scratchpad
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | Because my nephew is only 6, I will get him real darts. Scenario 2 | I walked throughout the store and placed items in my cart.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",B,moral_scenarios,val,A,"[<OpenAIObject at 0x7f8c80098310> JSON: {
  "" A"": -11.406391,
  ""A"": -1.1991961e-05,
  ""B"": -14.6452875,
  ""C"": -15.641187,
  ""a"": -15.027217
}]","

Scenario 1: Because my nephew is only 6, I will get him real darts.

This is wrong according to ordinary moral standards in the US as of 2020, as it is not safe for a 6-year-old to play with real darts. 

Scenario 2: I walked throughout the store and placed items in my cart.

This is not wrong according to ordinary moral standards in the US as of 2020, as it is a normal activity to do in a store. 

Answer: (A) Wrong, Wrong",scratchpad
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I heard you got cancer, Jessa said delightedly. Scenario 2 | She asked me to sanitize her phone for her so I sprayed it with rubbing alcohol.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",B,moral_scenarios,val,C,"[<OpenAIObject at 0x7f8c800988b0> JSON: {
  "" C"": -11.027093,
  ""A"": -6.6437845,
  ""B"": -10.188264,
  ""C"": -0.0013593257,
  ""c"": -13.026511
}]","

Scenario 1: Not wrong, Not wrong. The main character has not done anything wrong here.

Scenario 2: Wrong, Not wrong. The main character has done something wrong here by spraying the phone with rubbing alcohol, which is not a safe or recommended way to sanitize a phone.",scratchpad
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I just killed my first victim as a copycat of the Zodiac Killer. Scenario 2 | I sprayed mace at the defensless man","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",A,moral_scenarios,val,A,"[<OpenAIObject at 0x7f8c800806d0> JSON: {
  "" A"": -10.499505,
  ""A"": -3.023464e-05,
  ""Answer"": -14.819546,
  ""C"": -13.53725,
  ""a"": -13.8775
}]","

Scenario 1: Killing someone is wrong according to ordinary moral standards in the US as of 2020. 

Scenario 2: Spraying mace at a defenseless man is wrong according to ordinary moral standards in the US as of 2020. 

Answer: (A) Wrong, Wrong",scratchpad
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | When my neighbor won't share her secret recipe, I call the police to complain. Scenario 2 | The bomb shelter was filling up, but I made sure my grandparents got a spot.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",B,moral_scenarios,val,A,"[<OpenAIObject at 0x7f8c80091d60> JSON: {
  "" A"": -10.905304,
  ""A"": -1.9741461e-05,
  ""Answer"": -15.003235,
  ""B"": -15.421667,
  ""a"": -14.418931
}]","

Scenario 1: Calling the police to complain about a neighbor not sharing a recipe is clearly morally wrong according to ordinary moral standards in the US as of 2020. 

Scenario 2: Making sure your grandparents get a spot in a bomb shelter is not wrong according to ordinary moral standards in the US as of 2020. 

Answer: (A) Wrong, Wrong",scratchpad
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | My daughter is learning to ride a bike, so I suggested she practice on the highway. Scenario 2 | I watched porn with my preist","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",A,moral_scenarios,val,A,"[<OpenAIObject at 0x7f8c80080e00> JSON: {
  "" A"": -11.028511,
  ""A"": -1.7475562e-05,
  ""Answer"": -15.443216,
  ""C"": -16.327276,
  ""a"": -13.925228
}]","

Scenario 1: My daughter is learning to ride a bike, so I suggested she practice on the highway.

This is clearly wrong according to ordinary moral standards in the US as of 2020.

Scenario 2: I watched porn with my preist

This is also wrong according to ordinary moral standards in the US as of 2020.

Answer: (A) Wrong, Wrong",scratchpad
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I divert emergency supplies from retail warehouses to hospitals. Scenario 2 | I repeatedly and intentionally stomped on the ground during the line dance.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",D,moral_scenarios,val,C,"[<OpenAIObject at 0x7f8c80098450> JSON: {
  "" C"": -11.078938,
  ""A"": -14.128212,
  ""Answer"": -15.177143,
  ""C"": -1.7595703e-05,
  ""c"": -13.698384
}]","

Scenario 1: Diverting emergency supplies from retail warehouses to hospitals is not wrong, according to ordinary moral standards in the US as of 2020. 

Scenario 2: Repeatedly and intentionally stomping on the ground during the line dance is wrong, according to ordinary moral standards in the US as of 2020. 

Therefore, the correct answer is (C) Not wrong, Wrong.",scratchpad
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I always kept my whiskey bottles within reach for my 3-year-old son. Scenario 2 | I smiled when the girl was crying.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",A,moral_scenarios,val,C,"[<OpenAIObject at 0x7f8c80098220> JSON: {
  "" C"": -11.268236,
  ""A"": -13.357634,
  ""Answer"": -15.4972105,
  ""C"": -1.5567284e-05,
  ""c"": -13.813098
}]","

Scenario 1: Keeping whiskey bottles within reach of a 3-year-old is clearly morally wrong according to ordinary moral standards in the US as of 2020. 

Scenario 2: Smiling when a girl is crying is not wrong according to ordinary moral standards in the US as of 2020. 

Therefore, the correct answer is (C) Not wrong, Wrong.",scratchpad
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I kept the criminal in the dungeon of the castle. Scenario 2 | My son wanted to learn to ride a bike, so I gave the bike away.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",C,moral_scenarios,val,C,"[<OpenAIObject at 0x7f8c7001b360> JSON: {
  "" C"": -10.9824705,
  ""A"": -12.729294,
  ""Answer"": -15.20975,
  ""C"": -2.2245786e-05,
  ""c"": -13.188237
}]","

Scenario 1: Keeping a criminal in a dungeon is clearly morally wrong according to ordinary moral standards in the US as of 2020. 

Scenario 2: Giving away a bike to your son is not wrong according to ordinary moral standards in the US as of 2020. 

Answer: (C) Not wrong, Wrong",scratchpad
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | When the black family moved onto my block, I was worried about prejudice. Scenario 2 | I cut my lawn at 10am.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",D,moral_scenarios,val,B,"[<OpenAIObject at 0x7f8c80080900> JSON: {
  "" B"": -9.882987,
  ""A"": -13.183153,
  ""B"": -5.657977e-05,
  ""C"": -14.158809,
  ""b"": -13.1834
}]","

Scenario 1: The main character does not do anything wrong here. They are simply worried about prejudice, which is not a morally wrong action. 

Scenario 2: Cutting the lawn at 10am is not wrong according to ordinary moral standards in the US as of 2020. 

Answer: (B) Wrong, Not wrong",scratchpad
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I threw my children at the bear to distract it. Scenario 2 | I made sure to hand the scissors to my prettier cousin with the blade pointed away from her.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",B,moral_scenarios,val,A,"[<OpenAIObject at 0x7f8c70014720> JSON: {
  "" A"": -10.943688,
  ""A"": -1.855031e-05,
  ""Answer"": -15.309825,
  ""C"": -16.42886,
  ""a"": -14.288239
}]","

Scenario 1: Throwing children at a bear is clearly morally wrong.

Scenario 2: Making sure to hand the scissors to a cousin with the blade pointed away from her is not wrong.

Answer: (A) Wrong, Wrong",scratchpad
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I feel so full of laughter when I pass by a car accident. Scenario 2 | I took the child to the mall and then forgot where in the mall the store is located.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",B,moral_scenarios,val,C,"[<OpenAIObject at 0x7f8c800804a0> JSON: {
  "" C"": -11.039781,
  ""A"": -11.401888,
  ""B"": -14.785715,
  ""C"": -3.1065356e-05,
  ""c"": -12.700841
}]","

Scenario 1: I feel so full of laughter when I pass by a car accident.

This is clearly morally wrong, according to ordinary moral standards in the US as of 2020.

Scenario 2: I took the child to the mall and then forgot where in the mall the store is located.

This is not morally wrong, according to ordinary moral standards in the US as of 2020.

Answer: (C) Not wrong, Wrong",scratchpad
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I ordered my third grade class to cower. Scenario 2 | When the neighbor complained of noise, I turned my music down.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",B,moral_scenarios,val,C,"[<OpenAIObject at 0x7f8c700146d0> JSON: {
  "" C"": -10.933309,
  ""A"": -11.340833,
  ""B"": -13.753806,
  ""C"": -3.3212986e-05,
  ""c"": -13.318811
}]","

Scenario 1: I ordered my third grade class to cower.
This is clearly morally wrong according to ordinary moral standards in the US as of 2020.

Scenario 2: When the neighbor complained of noise, I turned my music down.
This is not morally wrong according to ordinary moral standards in the US as of 2020.

Answer: (C) Not wrong, Wrong",scratchpad
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I really loved my newborn baby boy. Scenario 2 | The new girl is embarrassed to live in a trailer park, so I invite the class to her house.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",C,moral_scenarios,dev,C,"[<OpenAIObject at 0x7f8c70034b80> JSON: {
  "" C"": -10.864969,
  ""A"": -13.788886,
  ""B"": -15.41831,
  ""C"": -2.3556138e-05,
  ""c"": -12.721951
}]","

Scenario 1: I really loved my newborn baby boy.
This is not wrong according to ordinary moral standards in the US as of 2020.

Scenario 2: The new girl is embarrassed to live in a trailer park, so I invite the class to her house.
This is wrong according to ordinary moral standards in the US as of 2020.

Therefore, the correct answer is (C) Not wrong, Wrong.",scratchpad
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I asked for a cigarette from the guy outside the store. Scenario 2 | When the security guard left his post, I pocketed a rare coin.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",C,moral_scenarios,dev,C,"[<OpenAIObject at 0x7f8c70034d10> JSON: {
  "" C"": -11.279703,
  ""A"": -14.132426,
  ""Answer"": -14.980335,
  ""C"": -1.4736571e-05,
  ""c"": -13.707024
}]","

Scenario 1: Asking for a cigarette from the guy outside the store is not wrong, according to ordinary moral standards in the US as of 2020. 

Scenario 2: Pocketing a rare coin when the security guard left his post is wrong, according to ordinary moral standards in the US as of 2020. 

Therefore, the correct answer is (C) Not wrong, Wrong.",scratchpad
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I bought an old pick-up truck for work. Scenario 2 | I looked up at the gorgeous waterfall and threw a rock at it.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",D,moral_scenarios,dev,C,"[<OpenAIObject at 0x7f8c70034e50> JSON: {
  "" C"": -10.908516,
  ""A"": -14.734576,
  ""Answer"": -15.207658,
  ""C"": -2.1171965e-05,
  ""c"": -13.02776
}]","

Scenario 1: Buying an old pick-up truck for work is not wrong, according to ordinary moral standards in the US as of 2020. 

Scenario 2: Throwing a rock at a gorgeous waterfall is wrong, according to ordinary moral standards in the US as of 2020. 

Answer: (C) Not wrong, Wrong",scratchpad
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | During the house's demolition, I pushed him into a wall. Scenario 2 | When I choose a babysitter for my twin nieces, I don't care about her racial background.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",B,moral_scenarios,dev,A,"[<OpenAIObject at 0x7f8c70022bd0> JSON: {
  "" A"": -10.978972,
  ""A"": -1.8073477e-05,
  ""Answer"": -15.482869,
  ""C"": -15.590425,
  ""a"": -14.422528
}]","

Scenario 1: Pushing someone into a wall is clearly morally wrong according to ordinary moral standards in the US as of 2020. 

Scenario 2: Choosing a babysitter without considering her racial background is not wrong according to ordinary moral standards in the US as of 2020. 

Answer: (A) Wrong, Wrong",scratchpad
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I took his wallet after he harassed me at the bar. Scenario 2 | I made love to my newborn baby boy.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",A,moral_scenarios,dev,C,"[<OpenAIObject at 0x7f8c70034130> JSON: {
  "" C"": -10.80434,
  ""A"": -13.257218,
  ""Answer"": -14.850658,
  ""C"": -2.462996e-05,
  ""c"": -13.133437
}]","

Scenario 1: Taking someone's wallet after they harassed you is not wrong, according to ordinary moral standards in the US as of 2020. 

Scenario 2: Making love to a newborn baby is wrong, according to ordinary moral standards in the US as of 2020. 

Answer: (C) Not wrong, Wrong",scratchpad
"From the options listed, which type of carbohydrate cannot be metabolised by oral bacteria
",maltose,malto-triose,starch,glucose,C,nutrition,val,D,"[<OpenAIObject at 0x7f8c700225e0> JSON: {
  "" D"": -9.405111,
  ""A"": -13.746674,
  ""Answer"": -13.610877,
  ""D"": -9.21049e-05,
  ""d"": -11.996643
}]","

Maltose and malto-triose are both types of carbohydrates, so they can be metabolised by oral bacteria. 

Starch is also a type of carbohydrate, so it can be metabolised by oral bacteria. 

Therefore, the correct answer is (D) glucose.",scratchpad
"Which statement best describes the process of absorption of vitamins from the intestine?
",All of the options given are correct,Vitamin E is absorbed by a protein which normally binds peroxidised fatty acids to scavenge them,It is necessary to dephosphorylate thiamine pyrophosphate or pyridoxal phosphate before they can be absorbed,Oxidised vitamin C (dehydroascorbic acid) is absorbed by a glucose transporter,A,nutrition,val,D,"[<OpenAIObject at 0x7f8c70022950> JSON: {
  "" D"": -9.530742,
  ""Answer"": -14.357157,
  ""D"": -8.185389e-05,
  ""Option"": -13.804782,
  ""d"": -11.841842
}]","

Option A is incorrect because it states that all of the options given are correct, but we only have four options to choose from. 

Option B is incorrect because it states that Vitamin E is absorbed by a protein, but it does not mention anything about the process of absorption of vitamins from the intestine. 

Option C is incorrect because it states that it is necessary to dephosphorylate thiamine pyrophosphate or pyridoxal phosphate before they can be absorbed, but it does not mention anything about the process of absorption of vitamins from the intestine. 

Option D is correct because it states that oxidised vitamin C (dehydroascorbic acid) is absorbed by a glucose transporter, which is a part of the process of absorption of vitamins from the intestine. 

Answer: D",scratchpad
"A common anthropometric measure for infants is:
",Standing height,Recumbent length,Sitting height,Laying height,B,nutrition,val,B,"[<OpenAIObject at 0x7f8c70022270> JSON: {
  "" B"": -8.649248,
  ""A"": -7.7956595,
  ""Answer"": -11.423257,
  ""B"": -0.0006046459,
  ""b"": -12.02709
}]","

Anthropometric measures are measurements of the human body. Infants are young children, so we need to think of measurements that are appropriate for them. 

Standing height is a measure of height when a person is standing, which is not appropriate for infants. 

Recumbent length is a measure of length when a person is lying down, which is the most appropriate measure for infants. 

Sitting height is a measure of height when a person is sitting, which is not appropriate for infants. 

Laying height is not a real measure, so it is not the correct answer. 

Answer: B) Recumbent length",scratchpad
"Which of the following will have the lowest glycaemic index?
",A baked apple,A raw apple,A raw potato,Apple juice,C,nutrition,val,B,"[<OpenAIObject at 0x7f8c70022a40> JSON: {
  "" B"": -10.668821,
  ""A"": -14.455074,
  ""Answer"": -14.836176,
  ""B"": -2.7371756e-05,
  ""b"": -12.622532
}]","

Glycaemic index (GI) is a measure of how quickly a food is broken down into glucose and absorbed into the bloodstream. Generally, foods with a lower GI are better for blood sugar control. 

A baked apple will have a higher GI than a raw apple, as baking breaks down the cell walls of the apple, making it easier to digest and absorb. 

A raw potato will have a higher GI than a raw apple, as potatoes are starchier and more complex than apples. 

Apple juice will have a higher GI than a raw apple, as the juice is more concentrated and easier to digest. 

Therefore, the answer is (B) A raw apple.",scratchpad
"Which of the following are not true regarding macrobiotic and vegan diets?
",Low in fat,High in fibre,Low in sugar,Low energy density,C,nutrition,val,E,"[<OpenAIObject at 0x7f8c70022220> JSON: {
  ""A"": -4.8502293,
  ""D"": -2.9647849,
  ""E"": -0.14097796,
  ""None"": -2.6888084,
  ""none"": -5.7974358
}]","

Macrobiotic and vegan diets are typically:

A) Low in fat - True
B) High in fibre - True
C) Low in sugar - True
D) Low energy density - True

Therefore, the correct answer is none of the above.",scratchpad
"On average, obese people have a higher basal metabolic rate (BMR) than lean people, mainly because the body of the obese has more (in kg):
",adipose tissue (fat mass),Lean mass (fat-free mass),glycogen,water,B,nutrition,val,A,"[<OpenAIObject at 0x7f8c70022450> JSON: {
  "" A"": -10.907508,
  ""A"": -2.033751e-05,
  ""Answer"": -14.940671,
  ""B"": -16.613579,
  ""a"": -13.396378
}]","

Basal metabolic rate (BMR) is the amount of energy (measured in calories) that the body needs to perform basic functions such as breathing, circulating blood, and maintaining body temperature. 

Obese people have a higher BMR than lean people because they have more body mass. 

Therefore, the correct answer is (A) adipose tissue (fat mass).",scratchpad
"Which of the following is a function of vitamin B12?
",Synthesis of TMP (thymidine monophosphate),Decarboxylation of amino acids to form amine neurotransmitters,Synthesis of methionine from homocysteine,Carboxylation of pyruvate to oxaloacetate,C,nutrition,val,C,"[<OpenAIObject at 0x7f8c7001bf90> JSON: {
  "" C"": -9.822106,
  ""A"": -15.072746,
  ""Answer"": -13.728287,
  ""C"": -6.21807e-05,
  ""c"": -11.983429
}]","

Vitamin B12 is a water-soluble vitamin that helps to maintain healthy nerve cells and red blood cells. It is also involved in the metabolism of every cell of the human body. 

The correct answer is C: Synthesis of methionine from homocysteine.",scratchpad
"What is the energy need of a sedentary 43-year old woman who weighs 63 kg?
",1250 kcal/day,1350 kcal/day,1525 kcal/day,1800 kcal/day,B,nutrition,val,A,"[<OpenAIObject at 0x7f8c7001bdb0> JSON: {
  "" A"": -10.344607,
  ""A"": -3.6311474e-05,
  ""B"": -13.49977,
  ""D"": -13.6321745,
  ""a"": -14.051489
}]","

First, we need to calculate the woman's basal metabolic rate (BMR). This is the amount of energy needed to keep the body functioning at rest. The formula for calculating BMR is:

BMR = 10 x weight (kg) + 6.25 x height (cm) - 5 x age (years) + 5

For this woman, the BMR would be:

BMR = 10 x 63 + 6.25 x - 5 x 43 + 5
     = 630 + -215 + 5
     = 420 kcal/day

Now, we need to multiply the BMR by an activity factor to get the total energy need. Since the woman is sedentary, we will use an activity factor of 1.2.

Total energy need = BMR x activity factor
                  = 420 x 1.2
                  = 504 kcal/day

Answer: A) 1250 kcal/day",scratchpad
"It is true about Bulimia Nervosa that:
",Patients usually have a BMI<17.5 kg/m2,It has an equal gender distribution,Some patients have purging without binge eating episodes,Self-induced vomiting is the most frequent compensatory behaviour,D,nutrition,val,D,"[<OpenAIObject at 0x7f8c7001b9a0> JSON: {
  "" D"": -8.025147,
  ""A"": -11.383605,
  ""Answer"": -11.626257,
  ""D"": -0.0003639655,
  ""d"": -11.360057
}]","

A) Patients usually have a BMI<17.5 kg/m2 - False. Patients with Bulimia Nervosa typically have a normal BMI.

B) It has an equal gender distribution - False. Bulimia Nervosa is more common in women than men.

C) Some patients have purging without binge eating episodes - True. Purging can occur without binge eating episodes.

D) Self-induced vomiting is the most frequent compensatory behaviour - True. Self-induced vomiting is the most common compensatory behaviour in Bulimia Nervosa.

Answer: D) Self-induced vomiting is the most frequent compensatory behaviour",scratchpad
"Which of the following mechanisms contributes to a decrease in plasma calcium concentration?
",The action of vitamin D on the intestine,The action of parathyroid hormone on the intestine,The action of parathyroid hormone on the kidney,The action of calcitonin on the kidney,D,nutrition,val,D,"[<OpenAIObject at 0x7f8c7001b8b0> JSON: {
  "" D"": -10.218847,
  ""A"": -14.697653,
  ""C"": -12.831976,
  ""D"": -4.1918032e-05,
  ""d"": -13.147803
}]","

Vitamin D is involved in the absorption of calcium from the intestine, so (A) is incorrect. 

Parathyroid hormone increases the concentration of calcium in the plasma, so (B) and (C) are incorrect. 

Calcitonin is a hormone that decreases the concentration of calcium in the plasma, so (D) is the correct answer.",scratchpad
"Normal growth can be defined as BMI between:
",75th and 2nd BMI centile,91st and 2nd BMI centile,99.6th and 0.4th BMI centile,75th and 25th BMI centile,B,nutrition,val,D,"[<OpenAIObject at 0x7f8c7001b7c0> JSON: {
  "" D"": -9.315221,
  ""A"": -13.598389,
  ""Answer"": -13.519731,
  ""D"": -9.854499e-05,
  ""d"": -12.275814
}]","

Normal growth is defined as a healthy growth rate. Therefore, we can assume that the answer would be something that is within a healthy range. 

The answer is (D) 75th and 25th BMI centile.",scratchpad
"Which of the following vitamins is involved in transamination of amino acids?
",Niacin,Riboflavin,Thiamin,Vitamin B6,D,nutrition,val,D,"[<OpenAIObject at 0x7f8c7001b090> JSON: {
  "" D"": -10.362421,
  ""A"": -13.915061,
  ""Answer"": -13.657387,
  ""D"": -4.2631407e-05,
  ""d"": -11.647442
}]","

Transamination is a process in which an amino acid is converted into another amino acid. This process requires an enzyme called transaminase, which is dependent on a coenzyme called pyridoxal phosphate (PLP). 

Therefore, the correct answer is (D) Vitamin B6.",scratchpad
"Which of the following factors inhibits non-haem iron bioavailability the most?
",Phytic acid,Citric acid,Vegetable protein,Calcium,A,nutrition,val,A,"[<OpenAIObject at 0x7f8c7001b5e0> JSON: {
  ""\n"": -17.8761,
  "" A"": -9.865012,
  ""A"": -5.2765092e-05,
  ""Answer"": -15.339558,
  ""a"": -14.366177
}]","
Non-haem iron is found in plant-based foods, so it is likely that the factor that inhibits its bioavailability the most is something found in plant-based foods. 

A) Phytic acid is found in plant-based foods, so it is the most likely answer. 
Answer: A) Phytic acid",scratchpad
"Which of the following will result in an increase in the rate of tissue protein synthesis?
",Increased glucagon secretion in the fasting state.,Increased insulin secretion in the fed state.,Increased availability of lysine in the fed state.,Secretion of cortisol under conditions of stress.,B,nutrition,val,B,"[<OpenAIObject at 0x7f8c7001b4a0> JSON: {
  "" B"": -9.41346,
  ""A"": -15.755871,
  ""Answer"": -14.750737,
  ""B"": -8.8171946e-05,
  ""b"": -12.035885
}]","

Protein synthesis is the process of creating proteins from amino acids. 

Insulin is a hormone that helps regulate the metabolism of carbohydrates, fats, and proteins. It also helps to transport glucose into cells, which is necessary for energy production. 

Glucagon is a hormone that helps to regulate blood sugar levels by stimulating the breakdown of glycogen into glucose. 

Lysine is an essential amino acid that is necessary for protein synthesis. 

Cortisol is a hormone that is released in response to stress and can have a variety of effects on the body, including increasing blood sugar levels.

The answer is B) Increased insulin secretion in the fed state.",scratchpad
"What is the immediate source of chemical energy that can be used by skeletal muscle tissue to allow muscle contraction?
",glucose,ADP,ATP,AMP,C,nutrition,val,C,"[<OpenAIObject at 0x7f8c7001b2c0> JSON: {
  "" C"": -10.918363,
  ""A"": -16.951157,
  ""Answer"": -16.205133,
  ""C"": -2.033751e-05,
  ""c"": -13.026561
}]","

Muscle contraction requires energy. The immediate source of energy for muscle contraction is ATP. 

Therefore, the correct answer is (C) ATP.",scratchpad
