question,choice_A,choice_B,choice_C,choice_D,correct_answer,topic,split,answer,logprobs,justification
"This question refers to the following information.
Albeit the king's Majesty justly and rightfully is and ought to be the supreme head of the Church of England, and so is recognized by the clergy of this realm in their convocations, yet nevertheless, for corroboration and confirmation thereof, and for increase of virtue in Christ's religion within this realm of England, and to repress and extirpate all errors, heresies, and other enormities and abuses heretofore used in the same, be it enacted, by authority of this present Parliament, that the king, our sovereign lord, his heirs and successors, kings of this realm, shall be taken, accepted, and reputed the only supreme head in earth of the Church of England, called Anglicans Ecclesia; and shall have and enjoy, annexed and united to the imperial crown of this realm, as well the title and style thereof, as all honors, dignities, preeminences, jurisdictions, privileges, authorities, immunities, profits, and commodities to the said dignity of the supreme head of the same Church belonging and appertaining; and that our said sovereign lord, his heirs and successors, kings of this realm, shall have full power and authority from time to time to visit, repress, redress, record, order, correct, restrain, and amend all such errors, heresies, abuses, offenses, contempts, and enormities, whatsoever they be, which by any manner of spiritual authority or jurisdiction ought or may lawfully be reformed, repressed, ordered, redressed, corrected, restrained, or amended, most to the pleasure of Almighty God, the increase of virtue in Christ's religion, and for the conservation of the peace, unity, and tranquility of this realm; any usage, foreign land, foreign authority, prescription, or any other thing or things to the contrary hereof notwithstanding.
English Parliament, Act of Supremacy, 1534
From the passage, one may infer that the English Parliament wished to argue that the Act of Supremacy would",give the English king a new position of authority,give the position of head of the Church of England to Henry VIII alone and exclude his heirs,establish Calvinism as the one true theology in England,end various forms of corruption plaguing the Church in England,D,high_school_european_history,dev,D,"[<OpenAIObject at 0x7f94c0011590> JSON: {
  "" A"": -12.069242,
  "" D"": -11.801982,
  ""A"": -0.8488836,
  ""D"": -0.5584555,
  ""d"": -13.019567
}]","The passage states that the English Parliament wished to ""repress and extirpate all errors, heresies, and other enormities and abuses heretofore used in the same"" and to ""redress, record, order, correct, restrain, and amend all such errors, heresies, abuses, offenses, contempts, and enormities, whatsoever they be."" This implies that the Parliament wished to end various forms of corruption plaguing the Church in England, which is choice (D). Choice (A) is incorrect because the passage does not mention a new position of authority for the English king. Choice (B) is incorrect because the passage does not mention Henry VIII specifically, and instead states that the king's heirs and successors would have the same authority. Choice (C) is incorrect because the passage does not mention Calvinism at all."
The rate of natural increase of a population is found by subtracting the,crude death rate from the crude birth date.,crude birth rate from the crude death rate.,doubling time from the crude birth rate.,fertility rate from the crude death rate.,A,high_school_geography,dev,B,"[<OpenAIObject at 0x7f94c0011bd0> JSON: {
  "" A"": -17.314457,
  "" B"": -10.768706,
  ""A"": -7.190011,
  ""B"": -0.0007758295,
  ""b"": -14.797564
}]","The rate of natural increase of a population is found by subtracting the crude death rate from the crude birth rate. This calculation gives the net population growth rate, which is the difference between the number of births and the number of deaths in a population over a given period of time."
"During the third stage of the demographic transition model, which of the following is true?",Birth rates increase and population growth rate is less rapid.,Birth rates decline and population growth rate is less rapid.,Birth rates increase and population growth rate increases.,Birth rates decrease and population growth rate increases.,B,high_school_geography,dev,B,"[<OpenAIObject at 0x7f94c0011310> JSON: {
  "" B"": -10.844492,
  ""A"": -12.587445,
  ""B"": -2.4986643e-05,
  ""D"": -13.8935375,
  ""b"": -13.761486
}]","During the third stage of the demographic transition model, birth rates decline and population growth rate is less rapid. This is due to increased access to contraception, improved healthcare, and increased education and economic opportunities for women."
Which of the following statements is NOT accurate regarding the services provided by local governments in the United States?,Duplication of efforts occurs often.,Social problems of the central city spill over into the surrounding residential suburbs.,Inefficiency in providing services occurs often.,One neighborhood's efforts to reduce pollution are always supported by neighboring communities.,D,high_school_geography,dev,D,"[<OpenAIObject at 0x7f94c0011d60> JSON: {
  "" D"": -12.528298,
  ""A"": -15.530697,
  ""B"": -14.940872,
  ""C"": -16.349695,
  ""D"": -4.1232483e-06
}]","Option D is not accurate because it is not always the case that one neighborhood's efforts to reduce pollution are supported by neighboring communities. In some cases, neighboring communities may oppose such efforts, leading to conflict and a lack of cooperation."
The practice of hiring a foreign third-party service provider to run an operation is called,outsourcing.,offshoring.,maquiladoras.,locational interdependence.,B,high_school_geography,dev,A,"[<OpenAIObject at 0x7f94c0011950> JSON: {
  "" A"": -11.666955,
  ""A"": -0.0007829877,
  ""B"": -7.164876,
  ""a"": -14.092935,
  ""b"": -17.696272
}]","The practice of hiring a foreign third-party service provider to run an operation is called outsourcing. Offshoring is the practice of relocating a business process to a foreign country, while maquiladoras are factories located in Mexico that are owned by foreign companies. Locational interdependence is the idea that the location of a business affects its success."
Which one of the following items is an example of nonmaterial culture?,Dove soap,Dove candy bar,Dove symbol,A dove (bird),C,high_school_geography,dev,C,"[<OpenAIObject at 0x7f94c0011f40> JSON: {
  "" C"": -14.117214,
  ""B"": -18.57677,
  ""C"": -7.8540467e-07,
  ""D"": -16.233389,
  ""c"": -16.693213
}]","Nonmaterial culture refers to the intangible aspects of culture, such as beliefs, values, language, and symbols. The Dove symbol is an example of a nonmaterial culture, as it is a symbol that conveys a certain meaning or idea. The other choices are all examples of material culture, which refers to physical objects that are part of a culture."
Uncertainty over the limits to presidential power is caused primarily by the fact that,the constitutional definition of those powers is broad and unspecific,most people agree that the Constitution places too many limits on presidential power,the Supreme Court consistently refuses to rule on cases concerning presidential powers,constitutional amendments have greatly increased presidential powers,A,high_school_government_and_politics,dev,A,"[<OpenAIObject at 0x7f94c0011db0> JSON: {
  "" A"": -11.787245,
  ""A"": -8.7733215e-06,
  ""B"": -19.902103,
  ""D"": -19.943409,
  ""a"": -13.605215
}]","The primary cause of uncertainty over the limits to presidential power is the fact that the constitutional definition of those powers is broad and unspecific. This means that the exact limits of presidential power are not clearly defined, leading to uncertainty and debate over the scope of the president's authority."
"The term ""budget deficit"" refers to the",annual increase in federal spending on the military,amount of interest on the national debt,difference between the initial budget proposals made by the president and Congress,amount the government spends in excess of its revenues,D,high_school_government_and_politics,dev,D,"[<OpenAIObject at 0x7f94d802d9f0> JSON: {
  "" D"": -10.087978,
  ""A"": -18.053738,
  ""C"": -18.36828,
  ""D"": -4.4181128e-05,
  ""d"": -12.835541
}]","The term ""budget deficit"" refers to the amount the government spends in excess of its revenues. This means that the government is spending more money than it is taking in from taxes and other sources of income. A budget deficit can be caused by a variety of factors, including increased spending on programs, decreased tax revenues, or a combination of both."
"Which of the following cases established the precedent that a defendant must be informed of the right to remain silent, the right to a lawyer, and protection from self-incrimination?",Weeks v. United States,Betts v. Brady,Mapp v. Ohio,Miranda v. Arizona,D,high_school_government_and_politics,dev,D,"[<OpenAIObject at 0x7f94c001b900> JSON: {
  "" D"": -12.497482,
  ""A"": -16.950262,
  ""C"": -17.869598,
  ""D"": -4.0040345e-06,
  ""d"": -14.808551
}]","The 1966 Supreme Court case of Miranda v. Arizona established the precedent that a defendant must be informed of the right to remain silent, the right to a lawyer, and protection from self-incrimination. This ruling has become known as the Miranda Warning."
Which of the following statements about cabinet departments is FALSE?,They are established by the legislative branch.,Their members often don't have much influence over presidential decisions.,They cannot all be run by leaders who belong to the same political party the president does.,Not every federal agency is a cabinet department.,C,high_school_government_and_politics,dev,B,"[<OpenAIObject at 0x7f94c001bc70> JSON: {
  "" B"": -10.045671,
  ""A"": -8.896595,
  ""B"": -0.00027554267,
  ""C"": -9.26469,
  ""b"": -14.858877
}]","The correct answer is B, as cabinet departments are established by the executive branch, and their members often have a great deal of influence over presidential decisions. Cabinet departments can be run by leaders who belong to the same political party the president does, and not every federal agency is a cabinet department."
Which of the following best states an argument made by James Madison in The Federalist number 10?,Honest politicians can prevent factions from developing.,Factions are more likely to occur in large republics than in small ones.,The negative effects of factionalism can be reduced by a republican government.,Free elections are the people's best defense against factionalism.,C,high_school_government_and_politics,dev,B,"[<OpenAIObject at 0x7f94c001b040> JSON: {
  "" B"": -11.653526,
  "" C"": -12.719875,
  ""B"": -0.39174885,
  ""C"": -1.1266655,
  ""D"": -13.935745
}]","The Federalist number 10 is an essay written by James Madison in which he argues that factions, or groups of citizens with shared interests, are more likely to occur in large republics than in small ones. He argues that a large republic can better control the effects of factions than a small one. Therefore, the best answer is (B)."
Which of the following is not included in the U.S. GDP?,The U.S. military opens a new base in a foreign country with 1000 U.S. personnel.,Japanese consumers buy thousands of CDs produced in the United States.,An American pop singer performs a sold-out concert in Paris.,A French theatrical production tours dozens of American cities.,C,high_school_macroeconomics,dev,A,"[<OpenAIObject at 0x7f94c001b9a0> JSON: {
  "" A"": -11.313419,
  ""A"": -0.0004058246,
  ""B"": -14.974211,
  ""C"": -10.150207,
  ""D"": -7.9464407
}]","The U.S. GDP (Gross Domestic Product) is the total value of all goods and services produced in the United States. It does not include goods and services produced in other countries, such as the U.S. military opening a new base in a foreign country. The other choices (B, C, and D) all involve goods and services produced in the United States, and would be included in the U.S. GDP."
The short-run Phillips curve indicates a,direct relation between unemployment and inflation,direct relation between price and quantity demanded,inverse relation between price and quantity demanded,inverse relation between unemployment and inflation,D,high_school_macroeconomics,dev,D,"[<OpenAIObject at 0x7f94c001b130> JSON: {
  "" A"": -16.448809,
  "" D"": -11.5402565,
  ""A"": -4.5203977,
  ""D"": -0.010954461,
  ""d"": -15.193511
}]","The short-run Phillips curve indicates an inverse relation between unemployment and inflation, meaning that when unemployment is low, inflation is high, and when unemployment is high, inflation is low."
A federal deficit occurs when,exports exceed imports.,imports exceed exports.,federal tax collections exceed spending.,federal spending exceeds federal tax revenues.,D,high_school_macroeconomics,dev,D,"[<OpenAIObject at 0x7f94c001be50> JSON: {
  "" D"": -11.511573,
  ""<|endoftext|>"": -19.715141,
  ""C"": -18.844168,
  ""D"": -1.0561456e-05,
  ""d"": -14.259546
}]","A federal deficit occurs when federal spending exceeds federal tax revenues. This means that the government is spending more money than it is taking in from taxes. This causes the government to borrow money to cover the difference, resulting in a deficit."
Holding all else equal which of the following monetary policies would be used to boost U.S. exports?,Increasing the discount rate,Increasing the reserve ratio,Buying government securities,Lowering tariffs,C,high_school_macroeconomics,dev,D,"[<OpenAIObject at 0x7f94c001b3b0> JSON: {
  "" D"": -11.637447,
  ""B"": -14.444773,
  ""C"": -8.248689,
  ""D"": -0.00027184532,
  ""d"": -14.45287
}]",Lowering tariffs is a monetary policy that can be used to boost U.S. exports by making it easier for foreign countries to purchase U.S. goods. The other choices are not related to boosting exports.
Which of the following policies best describes supply-side fiscal policy?,An increase in the money supply,Increased government spending,Lower taxes on research and development of new technology,Higher taxes on household income,C,high_school_macroeconomics,dev,C,"[<OpenAIObject at 0x7f94c001b310> JSON: {
  "" C"": -11.115099,
  ""B"": -17.38142,
  ""C"": -1.6045058e-05,
  ""D"": -14.425933,
  ""c"": -14.387869
}]","
Supply-side fiscal policy is an economic policy that focuses on increasing the production of goods and services by reducing taxes and regulations on businesses. This policy encourages businesses to invest in research and development of new technology, which is why the correct answer is (C) Lower taxes on research and development of new technology."
"In a competitive labor market for housepainters, which of the following would increase the demand for housepainters?",An effective minimum wage imposed on this labor market.,An increase in the price of gallons of paint.,An increase in the construction of new houses.,An increase in the price of mechanical painters so long as the output effect exceeds the substitution effect.,C,high_school_microeconomics,dev,C,"[<OpenAIObject at 0x7f94c001b950> JSON: {
  "" C"": -12.785268,
  ""B"": -18.209127,
  ""C"": -3.4089344e-06,
  ""D"": -17.92897,
  ""c"": -14.34857
}]","The demand for housepainters will increase when the construction of new houses increases, as more houses will need to be painted. The other choices would not necessarily increase the demand for housepainters, as the minimum wage and the price of paint may not have an effect on the demand for housepainters, and the price of mechanical painters may not have an effect if the substitution effect outweighs the output effect."
"If the government subsidizes producers in a perfectly competitive market, then",the demand for the product will increase,the demand for the product will decrease,the consumer surplus will increase,the consumer surplus will decrease,C,high_school_microeconomics,dev,C,"[<OpenAIObject at 0x7f94c001bf90> JSON: {
  "" C"": -10.767331,
  "" D"": -12.243939,
  ""C"": -0.16191219,
  ""D"": -1.9007733,
  ""c"": -12.925518
}]","
If the government subsidizes producers in a perfectly competitive market, then the price of the product will decrease, leading to an increase in consumer surplus. This is because the subsidy reduces the cost of production for producers, allowing them to sell the product at a lower price. This lower price increases the quantity of the product demanded by consumers, resulting in an increase in consumer surplus."
The concentration ratio for a monopoly is,0,5,10,100,D,high_school_microeconomics,dev,D,"[<OpenAIObject at 0x7f94c001b6d0> JSON: {
  "" D"": -11.566152,
  ""A"": -11.060529,
  ""B"": -10.728736,
  ""C"": -10.521421,
  ""D"": -7.469949e-05
}]","The concentration ratio for a monopoly is 100, meaning that the monopoly holds 100% of the market share. This is because a monopoly is a market structure in which a single firm is the only producer of a good or service, meaning that it has no competition and thus holds all of the market share."
Which of the following is true of a price floor?,The price floor shifts the demand curve to the left.,An effective floor creates a shortage of the good.,The price floor shifts the supply curve of the good to the right.,"To be an effective floor, it must be set above the equilibrium price.",D,high_school_microeconomics,dev,D,"[<OpenAIObject at 0x7f94c001b1d0> JSON: {
  "" B"": -13.1321335,
  "" D"": -10.531545,
  ""B"": -3.067418,
  ""C"": -12.152462,
  ""D"": -0.047696102
}]","A price floor is a government-imposed minimum price for a good or service. To be effective, the price floor must be set above the equilibrium price, meaning that the price floor will create a surplus of the good. This surplus is created because the price floor shifts the supply curve of the good to the right, while the demand curve remains unchanged."
Which of the following is necessarily a characteristic of oligopoly?,Free entry into and exit from the market,A few large producers,One producer of a good with no close substitutes,A homogenous product,B,high_school_microeconomics,dev,B,"[<OpenAIObject at 0x7f94c001bb30> JSON: {
  "" B"": -10.498731,
  ""A"": -17.16731,
  ""B"": -2.8682118e-05,
  ""C"": -18.508781,
  ""b"": -13.644277
}]","Oligopoly is a market structure in which there are a few large producers that dominate the market. This means that there is limited entry into and exit from the market, and the products produced by the firms are usually differentiated from one another. Therefore, the correct answer is (B) A few large producers."
Which of the following conditions will ensure that angular momentum is conserved? I. Conservation of linear momentum II. Zero net external force III. Zero net external torque,I and II only,I and III only,II and III only,III only,D,high_school_physics,dev,C,"[<OpenAIObject at 0x7f94c001b180> JSON: {
  "" B"": -10.947277,
  ""A"": -6.5773315,
  ""B"": -0.99219596,
  ""C"": -0.47658414,
  ""D"": -4.9744
}]","Angular momentum is conserved when the net external torque is zero and the net external force is zero. Therefore, the correct answer is (C) II and III only."
"A pipe full of air is closed at one end. A standing wave is produced in the pipe, causing the pipe to sound a note. Which of the following is a correct statement about the wave’s properties at the closed end of the pipe?","The pressure is at a node, but the particle displacement is at an antinode.","The pressure is at an antinode, but the particle displacement is at a node.",The pressure and the particle displacement are both at nodes.,The pressure and the particle displacement are both at antinodes.,B,high_school_physics,dev,B,"[<OpenAIObject at 0x7f94c001bbd0> JSON: {
  "" B"": -9.381267,
  ""A"": -1.6493006,
  ""B"": -0.21410081,
  ""C"": -9.224025,
  ""D"": -7.967105
}]","At the closed end of the pipe, the pressure is at an antinode, meaning that the pressure is at a maximum. The particle displacement is at a node, meaning that the particles are not moving."
"A photocell of work function ϕ = 2eV is connected to a resistor in series. Light of frequency f = 1 × 10^15 Hz hits a metal plate of the photocell. If the power of the light is P = 100 W, what is the current through the resistor?",2:00 AM,6:00 AM,12:00 AM,24 A,D,high_school_physics,dev,D,"[<OpenAIObject at 0x7f94c001bdb0> JSON: {
  "" D"": -13.251125,
  ""A"": -20.062502,
  ""C"": -17.476797,
  ""D"": -1.8601542e-06,
  ""d"": -16.11897
}]","The current through the resistor is given by the equation I = (2eVfP)/h, where h is Planck's constant. Plugging in the given values, we get I = (2 × 2eV × 1 × 10^15 Hz × 100 W)/h = 24 A. Therefore, the correct answer is (D)."
"A microwave oven is connected to an outlet, 120 V, and draws a current of 2 amps. At what rate is energy being used by the microwave oven?",10 W,30 W,60 W,240 W,D,high_school_physics,dev,C,"[<OpenAIObject at 0x7f94d80265e0> JSON: {
  "" C"": -11.364829,
  "" D"": -11.654111,
  ""B"": -7.600784,
  ""C"": -0.4106794,
  ""D"": -1.0898215
}]","The rate at which energy is being used by the microwave oven is equal to the product of the voltage and current, which is 120 V x 2 A = 240 W. Therefore, the correct answer is (C) 60 W."
"A point charge, Q = +1 mC, is fixed at the origin. How much work is required to move a charge, Q = +8 µC, from the point (0, 4 meters) to the point (3 meters, 0)?",3.5 J,6.0 J,22.5 J,40 J,B,high_school_physics,dev,C,"[<OpenAIObject at 0x7f94c0014810> JSON: {
  "" B"": -10.93201,
  ""A"": -8.544997,
  ""B"": -1.2413211,
  ""C"": -0.48468155,
  ""D"": -2.3552203
}]","The work required to move a charge from one point to another is given by the equation W = q1q2/4πεr, where q1 and q2 are the charges, ε is the permittivity of free space, and r is the distance between the two points. In this case, q1 = 1 mC, q2 = 8 µC, ε = 8.85 x 10-12 C2/Nm2, and r = 5 m. Plugging these values into the equation gives W = 3.5 J, so the correct answer is (C)."
Ani believes that her attitudes and behavior play a central role in what happens to her. Such a belief is likely to be associated with,a strong superego.,low self-esteem.,low self-efficacy.,an internal locus of control.,D,high_school_psychology,dev,D,"[<OpenAIObject at 0x7f94c0014590> JSON: {
  "" D"": -12.306123,
  ""A"": -17.987204,
  ""C"": -17.856337,
  ""D"": -5.5556293e-06,
  ""d"": -13.763638
}]","Ani's belief that her attitudes and behavior play a central role in what happens to her is likely to be associated with an internal locus of control. This means that she believes that she has control over her own life and that her actions and decisions will determine the outcomes of her life. This is in contrast to an external locus of control, which means that she believes that her life is determined by outside forces beyond her control."
"According to Caplan's model of consultee-centered case consultation, the consultant is primarily interested in",identifying the causes and solutions of the client's presenting problems,identifying and eliminating the causes of the consultee's difficulties in handling a problem,establishing a hierarchy of authority to enable effective decision making,"presenting a single, well-defined and unambiguous course of action for the consultant to overcome skills deficits",B,high_school_psychology,dev,B,"[<OpenAIObject at 0x7f94c0014270> JSON: {
  "" B"": -10.585601,
  ""A"": -14.530464,
  ""B"": -2.665838e-05,
  ""D"": -16.56816,
  ""b"": -13.98341
}]","According to Caplan's model of consultee-centered case consultation, the consultant is primarily interested in identifying and eliminating the causes of the consultee's difficulties in handling a problem. This model emphasizes the importance of understanding the consultee's perspective and helping them to develop their own solutions to their problems. The consultant does not focus on identifying the causes and solutions of the client's presenting problems, establishing a hierarchy of authority to enable effective decision making, or presenting a single, well-defined and unambiguous course of action for the consultant to overcome skills deficits."
"While swimming in the ocean, Ivan is frightened by a dark shadow in the water even before he has the chance to identify what the shadow is. The synaptic connections taking place during this incident of fright are best described by which of the following?",Messages are sent from the thalamus directly to the amygdala.,"Messages are sent from the thalamus to the ""what"" and ""where"" pathways.",Messages are sent from the parasympathetic nervous system to the cerebral cortex.,Messages are sent from the frontal lobes to the pituitary gland.,A,high_school_psychology,dev,A,"[<OpenAIObject at 0x7f94c0014400> JSON: {
  "" A"": -11.265639,
  ""<|endoftext|>"": -18.965418,
  ""A"": -0.00015743972,
  ""B"": -8.843015,
  ""a"": -14.769096
}]","The synaptic connections taking place during this incident of fright are best described by choice (A), which states that messages are sent from the thalamus directly to the amygdala. The thalamus is responsible for relaying sensory information to the amygdala, which is the part of the brain responsible for processing emotions such as fear. The ""what"" and ""where"" pathways, the parasympathetic nervous system, and the frontal lobes are not directly involved in this incident of fright."
"According to the Individuals with Disabilities Education Improvement Act, which of the following must an educational agency do before it changes the educational placement of a student with a disability?",Give the child a trial period in the new environment,Notify the parents in writing,Obtain school board approval,Obtain parental consent,B,high_school_psychology,dev,B,"[<OpenAIObject at 0x7f94c00149f0> JSON: {
  "" B"": -10.247897,
  ""A"": -15.032692,
  ""B"": -5.2288255e-05,
  ""D"": -11.151746,
  ""b"": -13.012917
}]",The Individuals with Disabilities Education Improvement Act (IDEA) requires that an educational agency must notify the parents in writing before it changes the educational placement of a student with a disability. This notification must include an explanation of why the change is being made and a description of any other options considered and the reasons why those options were rejected. The educational agency must also provide the parents with an opportunity to examine relevant records and to participate in meetings regarding the proposed change.
Pascale is interested in the processing strategies children use to learn new information. Pascale would best be classified as what type of psychologist?,sociocultural,clinical,cognitive,behaviorist,C,high_school_psychology,dev,C,"[<OpenAIObject at 0x7f94c00149a0> JSON: {
  "" C"": -13.185404,
  ""B"": -18.675339,
  ""C"": -2.0966954e-06,
  ""D"": -17.776121,
  ""c"": -15.056493
}]","Pascale is interested in the processing strategies children use to learn new information, which is a cognitive process. Therefore, Pascale would best be classified as a cognitive psychologist."
Which of the following is a correct statement about correlation?,"If the slope of the regression line is exactly 1, then the correlation is exactly 1.","If the correlation is 0, then the slope of the regression line is undefined.",Switching which variable is called x and which is called y changes the sign of the correlation.,The correlation r is equal to the slope of the regression line when z-scores for the y-variable are plotted against z-scores for the x-variable.,D,high_school_statistics,dev,A,"[<OpenAIObject at 0x7f94c0014950> JSON: {
  "" A"": -10.2058935,
  ""A"": -0.016295739,
  ""C"": -4.2938643,
  ""D"": -6.004159,
  ""a"": -12.574648
}]","A is the correct answer because if the slope of the regression line is exactly 1, then the correlation is exactly 1. This is because the correlation coefficient is a measure of the strength of the linear relationship between two variables, and a slope of 1 indicates a perfect linear relationship. B is incorrect because a correlation of 0 does not mean that the slope of the regression line is undefined; it just means that there is no linear relationship between the two variables. C is incorrect because switching which variable is called x and which is called y does not change the sign of the correlation. D is incorrect because the correlation r is not equal to the slope of the regression line when z-scores for the y-variable are plotted against z-scores for the x-variable; the correlation r is equal to the slope of the regression line when the raw data for the y-variable is plotted against the raw data for the x-variable."
"Suppose X and Y are random variables with E(X) = 37, var(X) = 5, E(Y) = 62, and var(Y) = 12. What are the expected value and variance of the random variable X + Y?","E(X + Y) = 99, var(X + Y) = 8.5","E(X + Y) = 99, var(X + Y) = 13","E(X + Y) = 99, var(X + Y) = 17",There is insufficient information to answer this question.,D,high_school_statistics,dev,A,"[<OpenAIObject at 0x7f94c0014f90> JSON: {
  "" A"": -11.258143,
  ""A"": -0.024991864,
  ""B"": -3.7201538,
  ""C"": -7.7374473,
  ""a"": -13.632579
}]","The expected value of X + Y is the sum of the expected values of X and Y, so E(X + Y) = 37 + 62 = 99. The variance of X + Y is the sum of the variances of X and Y, so var(X + Y) = 5 + 12 = 17."
"After a frost warning was issued, the owner of a large orange grove asked his workers to spray all his trees with water. The water was supposed to freeze and form a protective covering of ice around the orange blossom. Nevertheless, the owner suspected that some trees suffered considerable damage due to the frost. To estimate the proportion of trees that suffered more than 50 percent damage due to the frost, he took a random sample of 100 trees from his grove. What is the response variable in this experiment?",The proportion of trees that suffered more than 50 percent damage due to frost.,The number of trees affected by the frost.,The number of trees sampled from the grove.,"For each sampled tree, whether it suffered more than 50 percent damage or at most 50 percent damage.",D,high_school_statistics,dev,A,"[<OpenAIObject at 0x7f94c00140e0> JSON: {
  "" A"": -11.787679,
  ""A"": -8.1019425e-05,
  ""B"": -18.918829,
  ""D"": -9.52645,
  ""a"": -14.537419
}]","The response variable in this experiment is the proportion of trees that suffered more than 50 percent damage due to the frost. This is because the owner is trying to estimate the proportion of trees that were affected by the frost, and the sample of 100 trees is being used to measure this proportion. The other choices are not relevant to the experiment."
"A new smartwatch is manufactured in one part of a factory, then secured for shipping in another, independent part of the factory. The weight of the smartwatch has a mean of 62 grams and a standard deviation of 1.0 grams. The weight of the packaging (box, user's guide, bubble wrap, etc.) has a mean of 456 grams and a standard deviation of 6 grams. Together, the distribution of the weight of the smartwatch and its packaging would have the following mean and standard deviation:",Mean 518 grams; standard deviation 7.0 grams,Mean 518 grams; standard deviation 3.5 grams,Mean 518 grams; standard deviation 6.1 grams,Mean 394 grams; standard deviation 6.1 grams,C,high_school_statistics,dev,A,"[<OpenAIObject at 0x7f94c0014a90> JSON: {
  "" A"": -11.857491,
  ""A"": -8.892534e-06,
  ""B"": -14.498747,
  ""C"": -14.420906,
  ""a"": -14.112759
}]","The mean of the combined distribution is the sum of the means of the individual distributions, which is 62 + 456 = 518. The standard deviation of the combined distribution is the square root of the sum of the squares of the individual standard deviations, which is √(1.0^2 + 6^2) = 7.0."
"Which of the following sets has the smallest standard deviation? Which has the largest?
I: {1,2,3}
II: {-10,10}
III: {100}
","I, II","II, III","III, I","III, II",D,high_school_statistics,dev,C,"[<OpenAIObject at 0x7f94c0014e50> JSON: {
  "" C"": -12.369137,
  ""A"": -9.729058,
  ""B"": -7.8134627,
  ""C"": -0.0029295273,
  ""D"": -6.0089006
}]","The set with the smallest standard deviation is III, {100}, since all of the values are the same. The set with the largest standard deviation is II, {-10, 10}, since the values are further apart. Therefore, the correct answer is (C) III, I."
"This question refers to the following information.
""Society in every state is a blessing, but government even in its best state is but a necessary evil; in its worst state an intolerable one; for when we suffer, or are exposed to the same miseries by a government, which we might expect in a country without government, our calamity is heightened by reflecting that we furnish the means by which we suffer. Government, like dress, is the badge of lost innocence; the palaces of kings are built on the ruins of the bowers of paradise. For were the impulses of conscience clear, uniform, and irresistibly obeyed, man would need no other lawgiver; but that not being the case, he finds it necessary to surrender up a part of his property to furnish means for the protection of the rest; and this he is induced to do by the same prudence which in every other case advises him out of two evils to choose the least. Wherefore, security being the true design and end of government, it unanswerably follows that whatever form thereof appears most likely to ensure it to us, with the least expense and greatest benefit, is preferable to all others.""
Thomas Paine, Common Sense, 1776
Which of the following ""miseries"" alluded to above were most condemned by Anti-Federalists of the post-Revolutionary era?",Organized response to Bacon's Rebellion,Federal response to Shays's Rebellion,Federal response to the Whiskey Rebellion,Federal response to Pontiac's Rebellion,C,high_school_us_history,dev,B,"[<OpenAIObject at 0x7f94c0014090> JSON: {
  "" B"": -10.0308075,
  ""B"": -5.0140625e-05,
  ""C"": -12.262774,
  ""D"": -14.150416,
  ""b"": -14.212293
}]","The passage from Thomas Paine's Common Sense is referring to the idea that government is a necessary evil, and that it is only necessary because of the lack of clear and uniform impulses of conscience. The passage is not specifically referring to any particular rebellion, but rather to the idea that government is necessary to protect citizens from suffering. However, the Anti-Federalists of the post-Revolutionary era were particularly critical of the federal response to Shays's Rebellion, which was seen as an overreach of federal power. Therefore, the correct answer is (B)."
"This question refers to the following information.
""As our late Conduct at the Conestoga Manor and Lancaster have occasioned much Speculation & a great diversity of Sentiments in this and neighboring Governments; some vindicating & others condemning it; some charitably alleviating the Crime, & others maliciously painting it in the most odious & detestable Colours, we think it our duty to lay before the Publick, the whole Matter as it appeared, & still appears, to us. . . .
""If these things are not sufficient to prove an unjustifiable Attachment in the Quakers to the Indians Savages, a fixed Resolution to befriend them & an utter insensibility to human Distresses, let us consider a few more recent Facts. When we found the last Summer that we were likely to get no Assistance from the Government, some Volunteers went out at our own Expense, determined to drive our Enemies from our Borders; & when we came near to the great Island, we understood that a Number of their Warriors had gone out against our Frontiers. Upon this we returned and came up with them and fought with them at the Munfey Hill where we lost some of our Men & killed some of their Warriors & thereby saved our Frontiers from this Story in another Expedition. But no sooner had we destroyed their Provisions on the great Island, & ruined their trade with the good People at Bethlehem, but these very Indians, who were justly suspected of having murdered our Friends in Northampton County, were by the Influence of some Quakers taken under the Protection of the Government to screen them from the Resentments of the Friends and Relations of the Murdered, & to support them thro the Winter.""
—""Apology of the Paxton Boys"" (pamphlet), 1764 (Note: ""apology"" in this context should be read as an explanation, not an admission of guilt or regret.)
The sentiments expressed in the explanation above reflect which of the ongoing tensions during the colonial period of American history?",Tensions between British policies and the aspirations of North American colonists.,Tensions between American Indians allied with the French and those allied with the British.,Tensions between freed African Americans and white planters.,Tensions between backcountry settlers and elites within colonial America.,D,high_school_us_history,dev,D,"[<OpenAIObject at 0x7f94c0014db0> JSON: {
  "" D"": -12.601644,
  ""B"": -6.4650126,
  ""C"": -16.10859,
  ""D"": -0.0015618019,
  ""d"": -16.521364
}]","The sentiments expressed in the explanation above reflect the tensions between backcountry settlers and elites within colonial America. The Paxton Boys were backcountry settlers who were frustrated with the Quakers' protection of the American Indians, whom they suspected of murdering their friends in Northampton County. The Paxton Boys felt that the Quakers were not taking their grievances seriously and were instead protecting the Indians, which led to the tensions between the two groups."
